category,대출건수합계,평균대출건수
808.9,775033,34.42602052147648
813.6,444963,64.13418852695301
843,213074,28.76657216146888
408,142044,30.299488054607508
813.8,117737,21.965858208955225
833.6,103494,36.06062717770035
747,91326,17.63731170336037
813.7,79639,17.564843405381563
375.1,79111,26.95434412265758
818,58621,16.22951273532669
863,56306,28.138930534732634
911,48851,27.552735476593345
909,45793,28.337252475247524
990.8,43064,27.238456672991777
833.8,34481,28.42621599340478
031,34395,27.16824644549763
410,32791,26.31701444622793
199.1,31244,23.109467455621303
853,27502,25.39427516158818
823.5,26781,68.84575835475579
327.856,26628,33.621212121212125
080,24586,30.925786163522012
325.04,23266,26.711825487944893
388.311,21697,43.65593561368209
400,21401,25.386714116251483
325.211,19275,13.121170864533696
802,18355,19.610042735042736
823.7,17433,28.862582781456954
808.3,17287,27.223622047244096
911.05,16721,23.4187675070028
320,16565,32.737154150197625
380.911,16381,29.67572463768116
410.8,16332,32.404761904761905
598.1,16266,18.935972060535505
407,16204,64.3015873015873
004.76,16144,20.487309644670052
082,15835,16.792152704135738
747.5,15421,19.92377260981912
327.87,15374,27.551971326164875
373.4,15127,28.86832061068702
991.1,15000,22.058823529411764
108,14984,27.59484346224678
711.47,14673,64.07423580786026
911.03,14027,42.63525835866261
814.6,14013,22.638126009693053
375.2,13721,30.28918322295806
594.51,13424,52.64313725490196
404,13272,26.650602409638555
980.24,12547,28.45124716553288
682,12381,15.456928838951312
990,12195,21.93345323741007
327.04,11962,24.817427385892117
745,11603,26.921113689095126
594.5,11375,26.20967741935484
657.1,11261,42.33458646616541
005.3,10841,30.452247191011235
811.8,10764,13.488721804511279
189,10705,22.072164948453608
320.4,10606,48.87557603686636
219.2,10430,58.92655367231639
740.77,9967,30.021084337349397
813.808,9947,14.890718562874252
744,9530,27.54335260115607
308,9459,24.378865979381445
325.1,9324,12.515436241610738
810.8,9254,38.239669421487605
883,9058,24.481081081081083
684,8600,14.214876033057852
234.8,8287,14.487762237762238
711.4,8163,30.920454545454547
981.102,7878,20.356589147286822
005.133,7823,14.7882797731569
233,7785,21.685236768802227
816.6,7697,29.71814671814672
814.7,7689,9.921290322580646
813.5,7614,19.879895561357703
373,7581,22.166666666666668
327.8,7516,26.84285714285714
911.008,7437,78.28421052631579
325.337,7383,45.29447852760736
740,7181,18.60362694300518
410.4,7167,36.196969696969695
740.7,7081,22.915857605177994
634.9,7008,37.07936507936508
810.82,6766,16.071258907363422
843.6,6562,10.06441717791411
811.6,6540,14.342105263157896
838,6420,22.846975088967973
686,6360,6.905537459283388
813.6082,6112,37.962732919254655
327.85,5957,43.481751824817515
848,5876,15.18346253229974
372.42,5765,26.085972850678733
104,5668,14.134663341645885
980,5619,21.94921875
539.9,5525,13.092417061611375
747.2,5406,37.282758620689656
321.55,5401,14.288359788359788
375.4,5380,20.225563909774436
004.077,5352,40.85496183206107
199,5345,18.367697594501717
879,5344,40.18045112781955
367.564,5330,44.049586776859506
380,5268,37.098591549295776
873,5264,17.60535117056856
325.555,5262,21.048
100,5238,13.748031496062993
029.4,5211,18.744604316546763
595.4,5123,29.274285714285714
650.8,4999,27.021621621621623
859.7,4988,20.87029288702929
507.5,4982,32.35064935064935
001.3,4809,11.992518703241895
181.7,4703,21.184684684684683
811.7,4594,4.069087688219663
892.1,4589,29.416666666666668
813.5082,4577,70.41538461538461
511.1,4565,32.3758865248227
457.279,4531,53.94047619047619
180,4271,30.29078014184397
219.21,4261,25.064705882352943
420,4190,19.045454545454547
490,4181,19.909523809523808
336.24,4155,17.240663900414937
843.5,4152,16.030888030888033
472.5,4108,29.34285714285714
181.3,4097,25.60625
650.4,4080,14.676258992805755
189.2,4067,16.011811023622048
922,4062,52.07692307692308
199.5,4058,22.544444444444444
981.302,4058,35.91150442477876
512.57,4045,15.73929961089494
859.32,4040,54.5945945945946
685,4024,12.305810397553516
817,3992,51.17948717948718
186.3,3991,21.00526315789474
320.1,3985,19.63054187192118
908,3980,13.964912280701755
658,3978,23.53846153846154
325.21,3975,13.205980066445182
190,3883,19.61111111111111
746,3819,24.170886075949365
325.3,3785,16.74778761061947
005.1,3777,14.093283582089553
005.13,3776,14.984126984126984
511.1813,3765,16.883408071748878
182.2,3724,27.38235294117647
186.5,3711,18.555
378.9,3692,20.285714285714285
239.3,3685,38.385416666666664
834,3680,21.149425287356323
508,3628,22.81761006289308
823,3612,33.757009345794394
005.43,3609,11.20807453416149
181.71,3609,21.355029585798817
813.508,3593,35.22549019607843
892.8,3590,25.642857142857142
325.9,3581,25.94927536231884
005.72,3556,16.61682242990654
592.27,3547,16.04977375565611
430,3544,30.551724137931036
472,3470,16.064814814814813
512.54,3466,16.504761904761907
517.32,3440,15.925925925925926
220.4,3433,14.92608695652174
188.5,3428,21.030674846625768
982.02,3417,20.58433734939759
300,3408,6.430188679245283
219,3402,20.618181818181817
912.021,3344,167.2
325.5,3337,11.586805555555555
